Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,SID,ATE_RMSE
GES,20,ER,linear,gaussian,0.11042189598083496,4,12,0.4667471121349537
DAGBoost,20,ER,linear,gaussian,0.7014899253845215,24,44,0.3953676629276017
GES,20,ER,linear,exponential,0.18562674522399902,9,36,0.6986691454737392
DAGBoost,20,ER,linear,exponential,0.6533739566802979,20,40,0.33856740758281406
GES,20,ER,linear,laplace,0.11508417129516602,6,15,0.47858574553405075
DAGBoost,20,ER,linear,laplace,0.6326048374176025,20,40,0.34560111966280277
GES,20,ER,non-linear,gaussian,0.08304691314697266,13,39,0.38608681750605767
DAGBoost,20,ER,non-linear,gaussian,0.6250448226928711,21,41,0.28280980221634516
GES,20,ER,non-linear,exponential,0.08796405792236328,10,59,0.5459392447435933
DAGBoost,20,ER,non-linear,exponential,0.6262619495391846,20,40,0.24256972462902932
GES,20,ER,non-linear,laplace,0.19097304344177246,19,48,0.41933807196670847
DAGBoost,20,ER,non-linear,laplace,0.6251969337463379,24,44,0.2923964008622957
GES,20,SF,linear,gaussian,0.10129523277282715,6,11,0.4185432948609494
DAGBoost,20,SF,linear,gaussian,0.6006929874420166,22,36,0.28430112996396045
GES,20,SF,linear,exponential,0.10033273696899414,6,8,0.5153916363079609
DAGBoost,20,SF,linear,exponential,0.6433508396148682,22,36,0.3853110375346793
GES,20,SF,linear,laplace,0.08587908744812012,9,12,0.3934814221906708
DAGBoost,20,SF,linear,laplace,0.6078689098358154,22,36,0.23721135109426683
GES,20,SF,non-linear,gaussian,0.05356121063232422,12,21,0.36718782190719806
DAGBoost,20,SF,non-linear,gaussian,0.6095590591430664,23,37,0.2598917341921766
GES,20,SF,non-linear,exponential,0.024964094161987305,21,35,0.22085353022524495
DAGBoost,20,SF,non-linear,exponential,0.5809321403503418,21,35,0.18509030018651637
GES,20,SF,non-linear,laplace,0.04921722412109375,16,30,0.32097105574968965
DAGBoost,20,SF,non-linear,laplace,0.580592155456543,22,36,0.23801794272484886
GES,50,ER,linear,gaussian,1.6495442390441895,15,45,0.23361223347338164
DAGBoost,50,ER,linear,gaussian,1.4931888580322266,52,104,0.16784312074159594
GES,50,ER,linear,exponential,0.7349231243133545,27,53,0.28536588149184516
DAGBoost,50,ER,linear,exponential,1.4781429767608643,53,105,0.22543551867955824
GES,50,ER,linear,laplace,0.7715990543365479,23,55,0.26369911086677056
DAGBoost,50,ER,linear,laplace,1.4784297943115234,53,105,0.1748156699960163
GES,50,ER,non-linear,gaussian,0.693213939666748,21,57,0.2610262133667561
DAGBoost,50,ER,non-linear,gaussian,1.6312880516052246,49,101,0.1858833094496423
GES,50,ER,non-linear,exponential,0.613947868347168,39,95,0.22589411295388678
DAGBoost,50,ER,non-linear,exponential,1.5313007831573486,47,99,0.1501785933602399
GES,50,ER,non-linear,laplace,0.6973099708557129,44,108,0.27110361729423066
DAGBoost,50,ER,non-linear,laplace,1.4951872825622559,50,102,0.23080547893781306
GES,50,SF,linear,gaussian,1.2526838779449463,9,23,0.35348036676896066
DAGBoost,50,SF,linear,gaussian,1.4611148834228516,70,143,0.23692142657822463
GES,50,SF,linear,exponential,1.5251362323760986,8,20,0.3806517850595577
DAGBoost,50,SF,linear,exponential,1.4823548793792725,70,143,0.25087847720156187
GES,50,SF,linear,laplace,1.4818990230560303,5,10,0.3707974842245215
DAGBoost,50,SF,linear,laplace,1.4799180030822754,75,148,0.24936764671869743
GES,50,SF,non-linear,gaussian,0.41893506050109863,44,148,0.3009586656726696
DAGBoost,50,SF,non-linear,gaussian,1.655364751815796,68,141,0.22565611069589395
GES,50,SF,non-linear,exponential,0.4934840202331543,52,116,0.24593655592304783
DAGBoost,50,SF,non-linear,exponential,1.466054916381836,67,140,0.19015111384145186
GES,50,SF,non-linear,laplace,0.32263708114624023,53,139,0.2596740352292126
DAGBoost,50,SF,non-linear,laplace,1.470824956893921,68,141,0.21429654286694658
GES,100,ER,linear,gaussian,6.598315000534058,29,142,0.27700536671333736
DAGBoost,100,ER,linear,gaussian,3.259648084640503,115,229,0.1825146966677279
GES,100,ER,linear,exponential,10.630711793899536,40,125,0.205075707093775
DAGBoost,100,ER,linear,exponential,3.3476638793945312,108,222,0.10822337231958974
GES,100,ER,linear,laplace,12.59916067123413,27,87,0.2160596951168321
DAGBoost,100,ER,linear,laplace,3.4139902591705322,113,227,0.15933501964725555
GES,100,ER,non-linear,gaussian,10.738327026367188,60,248,0.22882567679156066
DAGBoost,100,ER,non-linear,gaussian,3.547705888748169,107,221,0.14973787515863654
GES,100,ER,non-linear,exponential,3.607020139694214,72,255,0.20391569793489026
DAGBoost,100,ER,non-linear,exponential,3.528247833251953,106,220,0.11903632326998595
GES,100,ER,non-linear,laplace,9.716413974761963,75,372,0.2853990217525701
DAGBoost,100,ER,non-linear,laplace,3.4093823432922363,106,220,0.14390463946146068
GES,100,SF,linear,gaussian,11.68703818321228,26,56,0.3395247589235737
DAGBoost,100,SF,linear,gaussian,3.470773220062256,163,363,0.19686469850018182
GES,100,SF,linear,exponential,12.22740387916565,69,89,0.4021300356479566
DAGBoost,100,SF,linear,exponential,3.420039176940918,151,351,0.23601691023942079
GES,100,SF,linear,laplace,14.263023138046265,16,37,0.40504576096029365
DAGBoost,100,SF,linear,laplace,3.4189841747283936,162,362,0.20278377733043498
GES,100,SF,non-linear,gaussian,4.422652244567871,118,455,0.30867981068796524
DAGBoost,100,SF,non-linear,gaussian,3.283137083053589,147,347,0.22474232985400774
GES,100,SF,non-linear,exponential,2.384036064147949,129,341,0.26136133768468883
DAGBoost,100,SF,non-linear,exponential,2.291576862335205,146,346,0.24617178268085724
GES,100,SF,non-linear,laplace,1.61214017868042,127,326,0.32126623449576897
DAGBoost,100,SF,non-linear,laplace,3.3826119899749756,149,349,0.3112929469273971
