Method,n_vars,DAG_type,SEM_type,Noise,Runtime_sec,SHD,ATE_RMSE,FLAR_ATE
FLAR,20,ER,linear,gaussian,2.2745394706726074,27,0.30631549135350494,0.018270072643094742
CAM,20,ER,linear,gaussian,16.71901035308838,90,129.7739706809301,
FLAR,20,ER,linear,exponential,1.3987457752227783,27,0.30342647039050935,-0.10085571351771458
CAM,20,ER,linear,exponential,15.157404661178589,94,691.4058286807149,
FLAR,20,ER,linear,laplace,1.3137290477752686,29,0.31437108684346143,0.07966804337419749
CAM,20,ER,linear,laplace,12.316967964172363,96,229.5364455483695,
FLAR,20,ER,non-linear,gaussian,1.4170165061950684,26,0.2992785039618493,0.007391620693203068
CAM,20,ER,non-linear,gaussian,18.27854037284851,102,1608.8481883049712,
FLAR,20,ER,non-linear,exponential,1.4444961547851562,27,0.322786870651069,-0.03742987766923948
CAM,20,ER,non-linear,exponential,14.570236682891846,106,246.10497704651775,
FLAR,20,ER,non-linear,laplace,1.3427526950836182,28,0.30751849201900466,-0.14086552074465158
CAM,20,ER,non-linear,laplace,14.400314569473267,96,380.895247116664,
FLAR,20,SF,linear,gaussian,1.3073451519012451,19,0.25651949529087004,0.04628987903777509
CAM,20,SF,linear,gaussian,14.034700155258179,80,310.077759122076,
FLAR,20,SF,linear,exponential,1.2821507453918457,18,0.3148685829044783,0.024478871052560577
CAM,20,SF,linear,exponential,12.401211261749268,93,71.51006057482142,
FLAR,20,SF,linear,laplace,1.3361258506774902,21,0.29229578029117637,0.040096990301294475
CAM,20,SF,linear,laplace,15.157608985900879,87,91.42677527711962,
FLAR,20,SF,non-linear,gaussian,1.306305170059204,22,0.26532834488579,-0.010224547946762594
CAM,20,SF,non-linear,gaussian,17.759083032608032,86,608.24895984393,
FLAR,20,SF,non-linear,exponential,1.4338948726654053,22,0.2746434402672397,-0.288881651138829
CAM,20,SF,non-linear,exponential,15.381959676742554,112,431.3839981447835,
FLAR,20,SF,non-linear,laplace,1.4568908214569092,22,0.26098262550936707,0.08134401360058016
CAM,20,SF,non-linear,laplace,15.545589447021484,100,210.8622979334865,
FLAR,50,ER,linear,gaussian,3.348245143890381,50,0.2200610629883715,-0.02997896481696927
CAM,50,ER,linear,gaussian,38.44144916534424,229,30153.604163481876,
FLAR,50,ER,linear,exponential,3.387054204940796,47,0.21869055729020376,-0.015992757426508873
